Name,Full name,Description,Location,Coordinates,URL,Version,DNSSEC validation,No logs,Namecoin,Resolver address,Provider name,Provider public key,Provider public key TXT record
cleanbrowsing-family,cleanbrowsing-family,"Blocks access to all adult, pornographic and explicit sites. It also",,,,2,yes,yes,no,185.228.168.168:8443,cleanbrowsing.org,BCAC:32FA:D543:6917:1F08:32D6:0750:27C3:208C:EEF0:E8E9:9F94:18DC:7760:65D4:8F29,
cleanbrowsing-family-ipv6,cleanbrowsing-family-ipv6,"Blocks access to all adult, pornographic and explicit sites. It also",,,,2,yes,yes,no,[2a0d:2a00:1::]:8443,cleanbrowsing.org,BCAC:32FA:D543:6917:1F08:32D6:0750:27C3:208C:EEF0:E8E9:9F94:18DC:7760:65D4:8F29,
cleanbrowsing-security,cleanbrowsing-security,"Block access to phishing, malware and malicious domains. It does not block adult content.",,,,2,yes,yes,no,185.228.168.9:8443,cleanbrowsing.org,BCAC:32FA:D543:6917:1F08:32D6:0750:27C3:208C:EEF0:E8E9:9F94:18DC:7760:65D4:8F29,
comodo-02,comodo-02,Comodo Dome Shield (anycast) - https://cdome.comodo.com/shield/,,,,2,yes,no,no,8.20.247.2,2.dnscrypt-cert.shield-2.dnsbycomodo.com,D2C2:54AA:961C:1ECA:1799:96F5:5FBC:801F:0836:C723:79AB:527E:CDA8:861B:E0E0:B3B0,
comss.one,comss.one,DNS server in Lithuania filtering phishing and ads.,,,,2,yes,yes,no,94.176.233.93,2.dnscrypt-cert.dns.comss.one,1569:C803:866D:24AB:E722:CF60:EB26:53E1:6232:3DBF:AB40:4076:EE96:88C4:CFCE:9313,
cs-ca2,cs-ca2,Secondary Canada DNSCrypt server provided by https://cryptostorm.is/,,,,2,no,yes,no,167.114.84.132,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-ch,cs-ch,Switzerland DNSCrypt server provided by https://cryptostorm.is/,,,,2,no,yes,no,81.17.31.34,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-de,cs-de,Germany DNSCrypt server provided by https://cryptostorm.is/,,,,2,no,yes,no,84.16.240.43,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-fi,cs-fi,Finland DNSCrypt server provided by https://cryptostorm.is/,,,,2,no,yes,no,185.117.118.20,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-fr,cs-fr,France DNSCrypt server provided by https://cryptostorm.is/,,,,2,no,yes,no,212.129.46.32,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-it,cs-it,Italy DNSCrypt server provided by https://cryptostorm.is/,,,,2,no,yes,no,185.94.193.234,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-lv,cs-lv,Latvia DNSCrypt server provided by https://cryptostorm.is/,,,,2,no,yes,no,109.248.149.133,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-nl2,cs-nl2,Secondary Netherlands DNSCrypt server provided by https://cryptostorm.is/,,,,2,no,yes,no,185.107.80.84,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-ro,cs-ro,Romania DNSCrypt server provided by https://cryptostorm.is/,,,,2,no,yes,no,5.254.96.195,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-swe,cs-swe,Sweden DNSCrypt server provided by https://cryptostorm.is/,,,,2,no,yes,no,128.127.104.108,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-usga,cs-usga,US - GA DNSCrypt server provided by https://cryptostorm.is/,,,,2,no,yes,no,64.42.181.227,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-usil,cs-usil,US - IL DNSCrypt server provided by https://cryptostorm.is/,,,,2,no,yes,no,173.234.56.115,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-usnc,cs-usnc,US - NC DNSCrypt server provided by https://cryptostorm.is/,,,,2,no,yes,no,155.254.29.113,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-ustx,cs-ustx,US - TX DNSCrypt server provided by https://cryptostorm.is/,,,,2,no,yes,no,209.58.147.36,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
d0wn-is-ns2,d0wn-is-ns2,Server provided by Martin 'd0wn' Albus,,,,2,yes,yes,no,93.95.226.165,2.dnscrypt-cert.is2.d0wn.biz,8460:34A9:C630:CA3C:04AC:4A90:1625:F17A:87B2:ACB9:4180:AC48:1E2C:10E8:CEDE:1A6F,
d0wn-tz-ns1,d0wn-tz-ns1,Server provided by Martin 'd0wn' Albus,,,,2,yes,yes,no,41.79.69.13,2.dnscrypt-cert.tz.d0wn.biz,D606:15FB:D145:3BA1:4E76:8A3E:5C5C:B3AC:1746:1331:463D:A0AF:8CF7:DF04:DA4D:756D,
d0wn-tz-ns1-ipv6,d0wn-tz-ns1-ipv6,Server provided by Martin 'd0wn' Albus,,,,2,yes,yes,no,[2c0f:fda8:5::2ed1:d2ec],2.dnscrypt-cert.tz.d0wn.biz,D606:15FB:D145:3BA1:4E76:8A3E:5C5C:B3AC:1746:1331:463D:A0AF:8CF7:DF04:DA4D:756D,
decloudus-nogoogle-tst,decloudus-nogoogle-tst,"Servers helps you deGoogle and unGoogle by completely blocking Google tracking in addition to annoying ads, online trackers, and malware. Supports DNSSEC. No Logs.",,,,2,yes,yes,no,176.9.199.158:8443,2.dnscrypt-cert.DeCloudUs-test,FBDD:87BD:5DE0:AC4B:B4DD:16EF:5F44:FEEC:E64F:B468:BF75:CB28:2E94:6566:78E0:0A2E,
decloudus-nogoogle-tstipv6,decloudus-nogoogle-tstipv6,"Servers helps you deGoogle and unGoogle by completely blocking Google tracking in addition to annoying ads, online trackers, and malware. Supports DNSSEC. No Logs. For IPv6.",,,,2,yes,yes,no,[2a01:4f8:151:11b0::3]:8443,2.dnscrypt-cert.DeCloudUs-test,FBDD:87BD:5DE0:AC4B:B4DD:16EF:5F44:FEEC:E64F:B468:BF75:CB28:2E94:6566:78E0:0A2E,
deffer-dns.au,deffer-dns.au,DNSSEC/Non-logged/Uncensored in Sydney (AWS).,,,,2,yes,yes,no,52.65.235.129,2.dnscrypt-cert.deffer-dns.au,E50D:3444:30C1:930C:777D:469A:D3F7:AD8F:3E22:1F79:4B04:EAAC:83DE:5B60:3995:D3B3,
dnscrypt-de-blahdns-ipv4,dnscrypt-de-blahdns-ipv4,"Blocks ad and Tracking, no Logging, DNSSEC, Hosted in Germany. By https://blahdns.com/",,,,2,yes,yes,no,78.46.244.143:8443,2.dnscrypt-cert.blahdns.com,5384:E814:4314:293E:56DD:1B14:0A1E:F172:AD47:BDBA:1799:C895:7294:953D:034E:B5C7,
dnscrypt-de-blahdns-ipv6,dnscrypt-de-blahdns-ipv6,"Blocks ad and Tracking, no Logging, DNSSEC, Hosted in Germany. By https://blahdns.com/",,,,2,yes,yes,no,[2a01:4f8:c17:ec67::1]:8443,2.dnscrypt-cert.blahdns.com,5384:E814:4314:293E:56DD:1B14:0A1E:F172:AD47:BDBA:1799:C895:7294:953D:034E:B5C7,
dnscrypt-fi-blahdns-ipv4,dnscrypt-fi-blahdns-ipv4,"Blocks ad and Tracking, no Logging, DNSSEC, Hosted in Finland. By https://blahdns.com/",,,,2,yes,yes,no,95.216.212.177:8443,2.dnscrypt-cert.blahdns.com,5384:E814:4314:293E:56DD:1B14:0A1E:F172:AD47:BDBA:1799:C895:7294:953D:034E:B5C7,
dnscrypt-fi-blahdns-ipv6,dnscrypt-fi-blahdns-ipv6,"Blocks ad and Tracking, no Logging, DNSSEC, Hosted in Finland. By https://blahdns.com/",,,,2,yes,yes,no,[2a01:4f9:c010:43ce::1]:8443,2.dnscrypt-cert.blahdns.com,5384:E814:4314:293E:56DD:1B14:0A1E:F172:AD47:BDBA:1799:C895:7294:953D:034E:B5C7,
dnscrypt-jp-blahdns-ipv4,dnscrypt-jp-blahdns-ipv4,"Blocks ad and Tracking, no Logging, DNSSEC, Hosted in Japan. By https://blahdns.com/",,,,2,yes,yes,no,45.32.55.94:8443,2.dnscrypt-cert.blahdns.com,5384:E814:4314:293E:56DD:1B14:0A1E:F172:AD47:BDBA:1799:C895:7294:953D:034E:B5C7,
dnscrypt-sg-blahdns-ipv4,dnscrypt-sg-blahdns-ipv4,"Blocks ad and Tracking, no Logging, DNSSEC, Hosted in Singapore. By https://blahdns.com/",,,,2,yes,yes,no,139.180.141.57:8443,2.dnscrypt-cert.blahdns.com,5384:E814:4314:293E:56DD:1B14:0A1E:F172:AD47:BDBA:1799:C895:7294:953D:034E:B5C7,
dnscrypt.be,dnscrypt.be,"Resolver in Leuven, Belgium (UCLL Campus Proximus). Non-logging/DNSSEC/Uncensored. https://dnscrypt.be",,,,2,yes,yes,no,193.191.187.107,2.dnscrypt-cert.dnscrypt.be,335A:65CE:4FF2:3C93:604A:273C:4827:F898:A174:5045:6711:D10D:4517:2AC9:5ADB:E883,
dnscrypt.ca-1,dnscrypt.ca-1,"Free, Canadian, uncensored, no-logs, encrypted, and DNSSEC validated",,,,2,yes,yes,no,167.114.220.125,2.dnscrypt-cert.dnscrypt.ca-1,1A53:A3C9:5078:9CBD:D10B:1933:A468:9B6C:846A:40F1:B73D:1752:AECA:C982:9ECB:7CE2,
dnscrypt.ca-1-ipv6,dnscrypt.ca-1-ipv6,"Free, Canadian, uncensored, no-logs, encrypted, and DNSSEC validated",,,,2,yes,yes,no,[2607:5300:61:95f:7283:11d9:0f86:e689],2.dnscrypt-cert.dnscrypt.ca-1-ipv6,20D9:19D4:EC3C:5008:CDC7:0A51:EA2B:4FCB:FE8A:993C:6431:D0EC:681D:5EA7:3845:AB80,
dnscrypt.ca-2,dnscrypt.ca-2,"Free, Canadian, uncensored, no-logs, encrypted, and DNSSEC validated",,,,2,yes,yes,no,149.56.228.45,2.dnscrypt-cert.dnscrypt.ca-2,0108:54AB:3B56:A7EE:F9D3:9158:FEF6:820B:FF93:A235:7C89:1608:DB9E:15D3:BBE0:1185,
dnscrypt.ca-2-ipv6,dnscrypt.ca-2-ipv6,"Free, Canadian, uncensored, no-logs, encrypted, and DNSSEC validated",,,,2,yes,yes,no,[2607:5300:60:652f::200],2.dnscrypt-cert.dnscrypt.ca-2-ipv6,987C:70A8:97DB:DA15:1A34:AD4B:55EA:800E:F561:CC04:AAD5:C57D:D2C3:D861:FC17:F429,
dnscrypt.eu-dk,dnscrypt.eu-dk,"Free, non-logged, uncensored. Hosted by Netgroup.",,,,2,yes,yes,no,77.66.84.233,2.dnscrypt-cert.resolver2.dnscrypt.eu,3748:5585:E3B9:D088:FD25:AD36:B037:01F5:520C:D648:9E9A:DD52:1457:4955:9F0A:9955,
dnscrypt.eu-dk-ipv6,dnscrypt.eu-dk-ipv6,"Free, non-logged, uncensored. Hosted by Netgroup.",,,,2,yes,yes,no,[2001:1448:243::dc2],2.dnscrypt-cert.resolver2.dnscrypt.eu,3748:5585:E3B9:D088:FD25:AD36:B037:01F5:520C:D648:9E9A:DD52:1457:4955:9F0A:9955,
dnscrypt.eu-nl,dnscrypt.eu-nl,"Free, non-logged, uncensored. Hosted by RamNode.",,,,2,yes,yes,no,176.56.237.171,2.dnscrypt-cert.resolver1.dnscrypt.eu,67C0:0F2C:21C5:5481:45DD:7CB4:6A27:1AF2:EB96:9931:40A3:09B6:2B8D:1653:1185:9C66,
dnscrypt.eu-nl-ipv6,dnscrypt.eu-nl-ipv6,"Free, non-logged, uncensored. Hosted by RamNode.",,,,2,yes,yes,no,[2a00:d880:3:1::a6c1:2e89],2.dnscrypt-cert.resolver1.dnscrypt.eu,67C0:0F2C:21C5:5481:45DD:7CB4:6A27:1AF2:EB96:9931:40A3:09B6:2B8D:1653:1185:9C66,
dnscrypt.one,dnscrypt.one,"Non-logging, non-censoring, DNSSEC-capable DNSCrypt resolver hosted in Germany (Nuremberg), https://dnscrypt.one",,,,2,yes,yes,no,161.97.101.51,2.dnscrypt-cert.dnscrypt.one,0A32:BA32:CC51:56DE:9D34:1C8D:7209:9CBA:D1AF:756E:F5C9:A615:9D49:5133:80CD:EA1E,
dnscrypt.pl,dnscrypt.pl,Free | No filtering | Zero logs | DNSSEC | Poland | https://dnscrypt.pl/ | @dnscryptpl,,,,2,yes,yes,no,178.216.201.128:2053,2.dnscrypt-cert.dnscrypt.pl,7F61:7CB8:1EA5:53D2:34C4:9BC2:79C7:4F7B:5498:050D:1DBF:111A:FEE6:9963:C647:A169,
dnscrypt.pl-guardian,dnscrypt.pl-guardian,Free | Malware and phishing filtering | Zero logs | DNSSEC | Poland | https://dnscrypt.pl/ | @dnscryptpl,,,,2,yes,yes,no,178.216.201.128:2054,2.dnscrypt-cert.dnscrypt.pl,7F61:7CB8:1EA5:53D2:34C4:9BC2:79C7:4F7B:5498:050D:1DBF:111A:FEE6:9963:C647:A169,
dnscrypt.uk-ipv4,dnscrypt.uk-ipv4,"DNSCrypt, no logs, uncensored, DNSSEC. Hosted in London UK on Digital Ocean",,,,2,yes,yes,no,165.232.32.95,2.dnscrypt-cert.dnscrypt.uk,01D3:0EE8:0E20:4DDA:1871:D3A1:0F28:5154:6765:BF14:B4DA:4404:A4FF:046D:7DA9:683C,
dnscrypt.uk-ipv6,dnscrypt.uk-ipv6,"DNSCrypt, no logs, uncensored, DNSSEC. Hosted in London UK on Digital Ocean",,,,2,yes,yes,no,[2a03:b0c0:1:e0::487:1001],2.dnscrypt-cert.dnscrypt.uk,01D3:0EE8:0E20:4DDA:1871:D3A1:0F28:5154:6765:BF14:B4DA:4404:A4FF:046D:7DA9:683C,
dnsforfamily,dnsforfamily,"(DNSCrypt Protocol) Block adult websites, gambling websites, malwares and advertisements.",,,,2,no,yes,no,78.47.64.161,dnsforfamily.com,1325:E2CE:0015:CD49:8712:248A:2A47:9FE2:518C:FCED:8E0E:79C3:0B07:CE1A:1002:8FAD,
dnsforfamily-no-safe-search,dnsforfamily-no-safe-search,"(DNSCrypt Protocol) Block adult websites, gambling websites, malwares and advertisements.",,,,2,no,yes,no,135.181.193.222,dnsforfamily.com,4714:AAD6:97F4:B0CF:077C:31CC:1AF1:985D:2C61:600B:DE12:A4AA:3F83:9EDE:FF8F:43B6,
dnsforfamily-v6,dnsforfamily-v6,"(DNSCrypt Protocol) Block adult websites, gambling websites, malwares and advertisements.",,,,2,no,yes,no,[2a01:4f8:1c17:4df8::1],dnsforfamily.com,6378:0AB4:98E1:F6F6:84AF:2FA0:524B:DC62:A233:BC50:3709:0A18:7E1B:D24E:CB98:C3F1,
east.comss.one,east.comss.one,"DNS with adblock filters and antiphishing, gaining popularity among russian-speaking users.",,,,2,yes,yes,no,91.230.211.67:5443,2.dnscrypt-cert.dns.east.comss.one,1569:C803:866D:24AB:E722:CF60:EB26:53E1:6232:3DBF:AB40:4076:EE96:88C4:CFCE:9313,
ev-canada,ev-canada,"Non-logging, uncensored DNS resolver provided by evilvibes.com",,,,2,yes,yes,no,104.36.148.192,2.dnscrypt-cert.ev-canada.evilvibes.com,255F:A039:1681:F28F:9DD0:00BD:6D64:7B90:9922:5B15:8FDD:AEEA:A6C1:1C70:995A:01BD,
faelix-ch-ipv4,faelix-ch-ipv4,"An open (non-logging, non-filtering, no ECS) DNSCrypt resolver operated by https://faelix.net/ with IPv4 nodes anycast within AS41495 in Switzerland.",,,,2,yes,yes,no,185.134.196.54:8443,2.dnscrypt-cert.rdns.faelix.net,7ECB:EF3E:2F01:8032:8D60:E0E1:D1EC:23E4:E877:D8EA:09A1:9370:1A04:D6B3:C0BE:8BE1,
faelix-ch-ipv6,faelix-ch-ipv6,"An open (non-logging, non-filtering, no ECS) DNSCrypt resolver operated by https://faelix.net/ with IPv6 nodes anycast within AS41495 in Switzerland.",,,,2,yes,yes,no,[2a01:9e01::54]:8443,2.dnscrypt-cert.rdns.faelix.net,7ECB:EF3E:2F01:8032:8D60:E0E1:D1EC:23E4:E877:D8EA:09A1:9370:1A04:D6B3:C0BE:8BE1,
faelix-uk-ipv4,faelix-uk-ipv4,"An open (non-logging, non-filtering, no ECS) DNSCrypt resolver operated by https://faelix.net/ with IPv4 nodes anycast within AS41495 in the UK.",,,,2,yes,yes,no,46.227.200.54:8443,2.dnscrypt-cert.rdns.faelix.net,7ECB:EF3E:2F01:8032:8D60:E0E1:D1EC:23E4:E877:D8EA:09A1:9370:1A04:D6B3:C0BE:8BE1,
faelix-uk-ipv6,faelix-uk-ipv6,"An open (non-logging, non-filtering, no ECS) DNSCrypt resolver operated by https://faelix.net/ with IPv6 nodes anycast within AS41495 in the UK.",,,,2,yes,yes,no,[2a01:9e00::54]:8443,2.dnscrypt-cert.rdns.faelix.net,7ECB:EF3E:2F01:8032:8D60:E0E1:D1EC:23E4:E877:D8EA:09A1:9370:1A04:D6B3:C0BE:8BE1,
ffmuc.net,ffmuc.net,"An open (non-logging, non-filtering, non-censoring) DNSCrypt resolver operated by Freifunk Munich with nodes in DE.",,,,2,yes,yes,no,5.1.66.255:8443,2.dnscrypt-cert.ffmuc.net,07D0:7AF1:CFDC:5D99:769D:3F02:6690:A704:4965:C274:276C:791C:AEF5:AEF3:B90C:46FA,
ffmuc.net-v6,ffmuc.net-v6,"An open (non-logging, non-filtering, non-censoring) DNSCrypt resolver operated by Freifunk Munich with nodes in DE.",,,,2,yes,yes,no,[2001:678:e68:f000::]:8443,2.dnscrypt-cert.ffmuc.net,07D0:7AF1:CFDC:5D99:769D:3F02:6690:A704:4965:C274:276C:791C:AEF5:AEF3:B90C:46FA,
freetsa.org-ipv6,freetsa.org-ipv6,Non-logged/Uncensored provided by www.freetsa.org. Support for DNS and DNS-over-TLS (DoT),,,,2,yes,yes,no,[2607:f130:0:f8::3085:e961]:553,2.dnscrypt-cert.freetsa.org,D8FF:BB42:E031:BE7A:7973:0B45:568D:496A:4E8A:CB59:AA83:66FD:6AB9:1E27:2A7D:16E4,
id-gmail,id-gmail,Non-Logging DNSCrypt server located in Singapore.,,,,2,yes,yes,no,174.138.21.128,2.dnscrypt-cert.dns.tiar.app,EF96:8066:E8D9:94F0:65D8:3EDD:D31A:EEED:F56D:8657:463E:4ACA:47CD:D7FE:97C3:D4F6,
id-gmail-ipv6,id-gmail-ipv6,Non-Logging DNSCrypt (IPv6) server located in Singapore.,,,,2,yes,yes,no,[2400:6180:0:d0::5f6e:4001],2.dnscrypt-cert.dns.tiar.app,EF96:8066:E8D9:94F0:65D8:3EDD:D31A:EEED:F56D:8657:463E:4ACA:47CD:D7FE:97C3:D4F6,
jitender,jitender,"DNSCrypt resolver in Hyderabad, India, Oracle Cloud",,,,2,yes,yes,no,152.67.165.26,2.dnscrypt-cert.jit.ddns.net,0506:E6CA:3825:E6FC:B334:27BB:B3A5:9725:C93D:6594:78DB:9F8D:CC30:0FEB:75E2:8F90,
jp.tiar.app,jp.tiar.app,"Non-Logging, Non-Filtering DNSCrypt server in Japan.",,,,2,yes,yes,no,172.104.93.80:1443,2.dnscrypt-cert.jp.tiar.app,32B8:763E:F1BF:6536:A1DE:6A13:C0CD:6F48:A179:E388:B699:A537:8D6D:5B3C:4CDF:5453,
jp.tiar.app-ipv6,jp.tiar.app-ipv6,"Non-Logging, Non-Filtering DNSCrypt (IPv6) server in Japan.",,,,2,yes,yes,no,[2400:8902::f03c:91ff:feda:c514]:1443,2.dnscrypt-cert.jp.tiar.app,32B8:763E:F1BF:6536:A1DE:6A13:C0CD:6F48:A179:E388:B699:A537:8D6D:5B3C:4CDF:5453,
